@    title "Efield_Projection"
@    xaxis  label "Time (ps)"
@    yaxis  label "Alignment_percentage"
#time             Angle           Alignment%
@type xy
328               22.204643      92.583990
329               32.776310      84.079043
330               44.551676      71.261807
331               49.782198      64.569496
332               43.621690      72.391080
333               41.466957      74.933770
334               50.312394      63.860134
335               54.258528      58.412880
336               38.465623      78.298154
337               56.640821      54.988580
338               37.756140      79.062398
339               61.631763      47.513649
340               62.067824      46.842615
341               35.256720      81.657388
342               48.508461      66.250946
343               62.447999      46.255343
344               49.330529      65.169442
345               47.350864      67.750693
346               48.436093      66.345512
347               42.072990      74.229180
348               42.074116      74.227858
349               62.373070      46.371245
350               27.832517      88.431615
351               35.137142      81.777678
352               52.947867      60.254151
353               41.381103      75.032911
354               34.535359      82.377650
355               49.643215      64.754533
356               28.040437      88.261597
357               42.861378      73.300162
358               51.634720      62.067267
359               41.457312      74.944924
360               65.682181      41.179771
361               35.776856      81.130016
362               53.418279      59.596868
363               51.513563      62.232942
364               57.372365      53.917708
365               65.147571      42.028252
366               46.777980      68.482729
367               55.360390      56.841263
368               53.491118      59.494739
369               45.996674      69.470018
370               51.995283      61.572640
371               57.012389      54.445773
372               56.214953      55.607879
373               61.880994      47.130444
374               40.578882      75.951113
375               44.559518      71.252197
376               48.788962      65.883433
377               43.476233      72.565986
378               50.362338      63.793030
379               28.175573      88.150481
380               67.471255      38.314691
381               41.447211      74.956588
382               51.748608      61.911302
383               67.375003      38.469810
384               45.280653      70.363481
385               44.370371      71.483434
386               47.444001      67.631051
387               60.740569      48.876485
388               63.571511      44.508050
389               35.469648      81.442300
390               84.045001      10.374738
391               57.487246      53.748734
392               49.014795      65.586418
393               51.132539      62.752104
394               49.760459      64.598459
395               40.517582      76.020662
396               44.895057      70.840069
397               53.431228      59.578728
398               35.197307      81.717199
399               48.568683      66.172183
400               38.510176      78.249763
401               46.473735      68.868714
402               55.557095      56.558473
403               37.361404      79.482354
404               61.313816      48.001198
405               48.250433      66.587610
406               64.047704      43.762271
407               75.539535      24.971184
408               52.731262      60.555434
409               38.179534      78.607770
410               34.213859      82.694457
411               37.799851      79.015661
412               43.375193      72.687210
413               46.808459      68.443947
414               53.652034      59.268769
415               50.887938      63.083904
416               42.823746      73.344820
417               49.761340      64.597289
418               51.830345      61.799207
419               43.395642      72.662692
420               41.979894      74.337967
421               67.563698      38.165605
422               53.790866      59.073428
423               33.979795      82.923464
424               63.015149      45.375489
425               31.921943      84.876933
426               55.741174      56.293227
427               63.230589      45.040098
428               52.971441      60.221301
429               56.642162      54.986626
430               42.463623      73.770606
431               45.817411      69.694724
432               44.162671      71.736457
433               38.049910      78.747417
434               36.415128      80.473713
435               49.202520      65.338726
436               41.441324      74.963392
437               43.222914      72.869478
438               43.095043      73.022137
439               50.077596      64.174953
440               37.422725      79.417375
441               40.470471      76.074051
442               48.784059      65.889873
443               61.672558      47.450971
444               56.031578      55.873584
445               45.702906      69.837890
446               53.223289      59.869805
447               59.838058      50.244571
448               34.968192      81.947029
449               40.679862      75.836348
450               52.328759      61.112979
451               41.537305      74.852414
452               53.250823      59.831310
453               68.522042      36.614327
454               62.106695      46.782660
455               44.009606      71.922334
456               47.163245      67.991183
457               46.587141      68.725057
458               55.884180      56.086760
459               56.593574      55.057437
