@    title "Efield_Projection"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time             Magnitude       Efield_X       Efield_Y      Efield_Z        Direction
@type xy
280               22.972435     -20.063089      10.750602      -3.103179       1.000000
281               11.874690     -10.043435       6.203640      -1.285500       1.000000
282               16.352949     -10.980462      10.356687      -6.291852       1.000000
283               25.818487     -19.949474      13.950191      -8.602610       1.000000
284               22.161928     -17.953140      11.827775      -5.379548       1.000000
285               23.238739     -17.888227      14.763746      -1.442961       1.000000
286               30.491291     -24.228212      17.829231      -4.983072       1.000000
287               24.531673     -19.231915      14.084573      -5.793213       1.000000
288               20.973785     -16.279171      11.711765      -6.141889       1.000000
289               10.071916      -8.368445       5.333936      -1.720967       1.000000
290               11.765079      -9.587686       6.411262      -2.321438       1.000000
291               22.983723     -19.593809      11.679899      -2.813200       1.000000
292                8.118582      -6.872723       3.706314      -2.222678       1.000000
293               23.911306     -19.461508      12.492161      -6.078338       1.000000
294               16.011293     -13.198960       8.003100      -4.254334       1.000000
295               20.694973     -17.084158      11.200090      -3.312312       1.000000
296               20.929811     -16.578039      11.798620      -4.900832       1.000000
297               21.577497     -17.606607      12.169998      -2.736227       1.000000
298               25.950180     -20.738384      14.097582      -6.677534       1.000000
299               19.690802     -16.456476      10.088131      -3.891228       1.000000
300               35.225922     -27.010740      17.460413     -14.367304       1.000000
301                8.907355      -5.841177       5.101521      -4.381337       1.000000
302               24.725189     -19.824732      14.031938      -4.628142       1.000000
303               17.119404     -15.562512       7.044314       1.122419       1.000000
304               18.997192     -15.871233       8.762991      -5.675144       1.000000
305               19.245749     -15.469300      10.557817      -4.430809       1.000000
306               23.127935     -19.145344      11.196974      -6.556296       1.000000
307               18.174444     -15.072839       8.845093      -4.988418       1.000000
308               18.965525     -14.728943       9.007678      -7.849272       1.000000
309               18.756201     -12.711188      12.239192      -6.357903       1.000000
310               15.747226     -12.370940       9.463291      -2.319718       1.000000
311               18.954544     -14.877317      11.452526      -2.603804       1.000000
312               16.863556     -12.226737       9.525467      -6.644692       1.000000
313               27.473902     -22.257000      13.425829      -8.898785       1.000000
314               16.049070     -12.659974       8.011185      -5.754880       1.000000
315               17.110945     -15.284470       7.565856       1.388260       1.000000
316               14.038365      -9.997152       8.828017      -4.381639       1.000000
317               15.198486     -12.446421       8.288925      -2.715566       1.000000
318               16.531382     -13.652989       8.558805      -3.691793       1.000000
319               28.385843     -24.466135      14.336492      -1.276476       1.000000
320               26.601101     -19.742636      15.205374      -9.308248       1.000000
321               14.579409     -10.929441       8.795552      -3.967963       1.000000
322               24.391308     -20.222496      12.705069      -4.956592       1.000000
323               14.296353     -12.429660       6.645106      -2.394124       1.000000
324               27.818798     -19.768782      14.979278     -12.597700       1.000000
325               26.265070     -20.776249      15.199367      -5.213505       1.000000
326               17.374674     -13.524364      10.254572      -3.716799       1.000000
327               23.455576     -17.872498      14.440163      -4.713769       1.000000
328               27.388645     -22.962530      13.664381      -6.012057       1.000000
329               18.587957     -15.763632       9.683149      -1.804629       1.000000
330               18.042770     -15.195848       9.518547      -2.006238       1.000000
331               17.142111     -13.260816       9.249981      -5.695664       1.000000
332               17.592407     -15.423986       8.266192      -1.806510       1.000000
333               21.254795     -17.002434      11.232634      -6.042475       1.000000
334               17.133804     -14.885227       8.406393      -1.153184       1.000000
335               14.006586     -11.370065       7.562078      -3.117863       1.000000
336               16.642723     -11.795150      10.259714      -5.709020       1.000000
337               11.714851      -9.887270       5.671276      -2.704860       1.000000
338               25.205130     -18.792091      16.315166      -3.996400       1.000000
339               12.459991     -10.340727       6.078459      -3.372401       1.000000
340               15.702181     -12.115734       9.587230      -2.802229       1.000000
341               16.183662     -12.320567       9.112504      -5.203541       1.000000
342               17.838079     -15.835723       8.081857      -1.452775       1.000000
343               11.508584      -8.997011       6.230936      -3.560440       1.000000
344               26.080473     -21.391853      14.060404      -4.988462       1.000000
345               26.262835     -20.089132      14.932933      -7.948001       1.000000
346               17.036983     -13.384293       9.374022      -4.821535       1.000000
347               24.725039     -19.442499      13.399940      -7.332011       1.000000
348               17.247849     -12.680836       8.277242      -8.256630       1.000000
349               12.832867     -10.849858       6.406671      -2.432615       1.000000
350               29.380877     -25.862120      12.989387      -5.065815       1.000000
351               27.097759     -23.500332      12.098569      -5.970562       1.000000
352               28.306906     -23.118814      16.036051      -3.105864       1.000000
353               26.465239     -19.188244      16.113089      -8.519890       1.000000
354               27.348158     -24.391647      11.496426      -4.560862       1.000000
355               20.450199     -15.652002      11.523479      -6.358845       1.000000
356               30.264189     -22.493408      17.437788     -10.290347       1.000000
357               24.649397     -21.449968      12.044262       1.558021       1.000000
358               20.434120     -15.721631      12.670211      -3.138372       1.000000
