@    title "Electric Field"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time             Magnitude      Efield_X       Efield_Y       Efield_Z
@type xy
15020             34.029114     -31.087151     -12.892361      -5.035550
15021             32.925308     -30.909403     -11.184338      -1.896106
15022             38.351315     -29.951126     -15.372334     -18.369669
15023             30.383816     -26.567316      -7.868709     -12.467456
15024             34.496124     -29.958483     -16.706625      -3.655222
15025             31.718876     -27.824923      -6.203519     -13.906010
15026             40.893364     -36.003544     -18.808090      -4.718871
15027             33.283504     -30.916656      -9.986724      -7.226160
15028             31.845654     -25.003632     -10.650965     -16.598827
15029             35.103947     -29.424913     -18.852634       3.322617
15030             34.973545     -31.744326      -7.209205     -12.785692
15031             31.679741     -25.985960     -13.648376     -11.918797
15032             33.984406     -30.554268      -6.434750     -13.415309
15033             34.579449     -33.748249      -7.534413       0.162816
15034             31.560225     -26.271566     -17.108856      -3.624857
15035             30.489603     -24.222052     -17.672060      -5.532306
15036             37.732944     -33.942921     -14.979528      -6.875100
15037             34.145866     -29.784517     -14.475561      -8.323520
15038             38.849834     -34.683933     -16.832045       4.797576
15039             37.592087     -35.212093     -13.145778      -0.679651
15040             36.698795     -30.838535     -19.538473      -3.746240
15041             31.428577     -31.223495      -3.584259      -0.043114
15042             32.344662     -26.170919     -17.440378      -7.556019
15043             28.467062     -20.144421     -17.592644      -9.750634
15044             36.490368     -31.285923     -18.397142      -3.779311
15045             37.819290     -35.843613     -10.943030      -5.077814
15046             33.082802     -30.058962      -8.318660     -11.033152
15047             29.037725     -27.732130      -7.382056      -4.429864
15048             41.198582     -38.565903      -6.543937     -12.929475
15049             36.573723     -31.909367     -17.847939      -0.938389
15050             43.258698     -34.234863     -24.328053     -10.365081
15051             31.107019     -25.351173      -8.773281     -15.747830
15052             39.881310     -33.731258     -20.937620       3.786441
15053             34.265682     -33.273907      -8.099403      -1.176385
15054             38.066093     -31.866484     -18.536299      -9.484737
15055             38.386780     -28.354256     -11.956465     -22.948288
15056             34.640938     -30.875494     -15.667038      -1.114585
15057             33.777576     -33.099041      -4.757846      -4.768757
15058             32.703552     -28.393141     -15.848191      -3.490927
15059             36.605595     -33.891186     -13.829826      -0.305059
15060             36.096527     -28.955311     -10.846600     -18.625265
15061             31.026993     -26.119013     -15.326840      -6.749777
15062             35.452663     -32.573608      -7.333620     -11.919291
15063             36.192375     -29.207205     -13.801037     -16.320496
15064             31.003674     -23.614546     -13.126705     -15.207583
15065             31.634701     -25.955570     -16.480806      -7.446185
15066             37.681938     -34.320011     -15.459924      -1.748206
15067             43.202847     -40.105637     -11.274838     -11.441242
15068             35.380188     -34.121658      -8.586787      -3.706354
15069             36.906979     -30.398392     -20.904781       1.026201
15070             25.039013     -23.712767      -5.367151      -5.987536
15071             36.314713     -32.611931     -15.127656      -5.135594
15072             34.314838     -27.968231     -14.715220     -13.369682
15073             38.023777     -32.978237     -15.983581     -10.137497
15074             37.960388     -35.165257     -13.986801      -2.960596
15075             33.591454     -31.434792      -9.002284      -7.694056
15076             29.313833     -23.245930     -11.474542     -13.684388
15077             27.649126     -21.685503      -8.581864     -14.851421
15078             36.213589     -32.497868     -10.859091     -11.721458
15079             36.759628     -28.747778     -22.524817       4.179473
