#time   Angle(Efield(t), avg_field)   Projection(Efield(t), avg_field)   Alignment(Efield(t), avg_field)
451                5.565776                     22.688684                        61.541820
452               10.912985                     18.174248                        49.296656
453               19.262348                     29.884977                        81.061375
454               19.225274                     22.404764                        60.771704
455               13.405629                     32.316616                        87.657058
456                1.697544                     32.437515                        87.984991
457                6.774479                     27.666855                        75.044835
458               20.351589                     26.160988                        70.960253
459                9.965177                     28.023779                        76.012975
460               19.369001                     20.094231                        54.504508
461               16.747945                     30.633209                        83.090913
462               16.406407                     28.213165                        76.526672
463                9.664994                     27.908808                        75.701123
464               10.634562                     28.069973                        76.138270
465               17.861347                     24.526852                        66.527748
466               12.453827                     23.229633                        63.009113
467               12.753679                     32.369560                        87.800670
468                6.676440                     34.835545                        94.489515
469                3.353337                     36.484039                        98.960972
470                4.455577                     29.114815                        78.972352
471               12.873940                     32.474449                        88.085175
472               20.782839                     25.303684                        68.634868
473                9.338204                     29.648626                        80.420285
474               16.175164                     19.397690                        52.615178
475                3.742091                     27.426910                        74.394000
476               25.829460                     27.116833                        73.552930
477               20.543853                     20.331539                        55.148190
478                4.159536                     34.199112                        92.763227
479                9.367372                     31.023911                        84.150666
480               18.306322                     24.093145                        65.351343
481               15.382782                     25.225826                        68.423682
482               14.197188                     30.566025                        82.908678
483               16.472090                     27.005951                        73.252171
484               10.875871                     28.759314                        78.008074
485                9.783939                     33.234650                        90.147179
486               14.814470                     29.549953                        80.152637
487               16.429074                     23.762016                        64.453173
488               16.084962                     31.448229                        85.301608
489               27.906363                     18.239269                        49.473023
490                6.228629                     31.816236                        86.299807
491               27.029758                     22.674265                        61.502707
492                5.994105                     33.750553                        91.546535
493               18.287100                     19.562683                        53.062713
494                5.053228                     32.871281                        89.161557
495               10.156639                     21.773283                        59.058845
