@    title "Electric Field"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time             Magnitude      Efield_X       Efield_Y       Efield_Z
@type xy
239               29.474527     -25.505646      -8.352839     -12.183592
240               27.983788     -26.438866      -7.259318      -5.601879
241               33.467155     -30.212862     -14.383957      -0.578961
242               31.169765     -27.042555      -3.931691     -14.993211
243               23.522205     -15.211734      -9.145549     -15.435554
244               26.317226     -15.377579      -9.091160     -19.325562
245               31.306698     -25.889973      -4.248648     -17.081205
246               33.417759     -31.572388     -10.300305      -3.719510
247               27.974792     -23.767986      -2.079279     -14.606449
248               23.733849     -16.594381      -8.504686     -14.683065
249               31.399704     -26.004326      -8.835740     -15.219924
250               22.270746     -18.322796     -12.552750      -1.640056
251               23.589525     -21.475674      -9.679254      -1.254267
252               42.900749     -42.489689       1.979431      -5.584125
253               25.305290     -20.511581      -6.772398     -13.182085
254               30.578220     -18.626419     -23.629105      -5.454310
255               37.322113     -36.225704      -0.145770      -8.978713
256               22.531345     -19.029097     -10.417670      -6.084993
257               20.710775     -18.397287      -4.551670      -8.352148
258               19.221403     -16.135578     -10.441598       0.280123
259               23.701780     -22.587595      -7.065782       1.284380
260               31.816835     -29.463289     -10.374007      -6.050256
261               30.240246     -29.907484      -4.040421      -1.920910
262               29.451206     -26.352837      -5.602703     -11.895851
263               25.949253     -21.179985       5.693436     -13.869276
264               31.116322     -26.076263       9.773950     -13.882505
265               27.067940     -25.827267      -5.569397       5.882809
266               23.713203     -20.979994     -10.267446      -4.090894
267               29.145296     -27.461288      -2.835511      -9.342688
268               33.920357     -31.852623       0.337602     -11.657061
269               17.238655     -16.984732       1.253828      -2.667967
270               22.827433     -20.166105      -5.434610      -9.213298
271               24.103764     -22.768785      -2.404705      -7.535998
272               20.621582     -12.358575      -1.443449     -16.444809
273               24.171862     -23.581728       5.128054      -1.372603
274               33.891846     -30.604881       7.623019     -12.405164
275               30.042513     -21.559509       8.847402     -18.959528
276               36.165123     -30.074902       6.785684     -18.904257
277               31.733095     -26.880491       3.224975     -16.553795
278               27.073919     -24.413797      -0.899184     -11.668550
279               26.754885     -23.937452       6.723817      -9.879902
280               27.531950     -21.341900       1.303526     -17.344522
281               29.317780     -23.010637       7.415299     -16.584816
282               30.456701     -24.685204     -12.790180     -12.436343
283               31.952494     -28.501951       0.621136     -14.429651
284               31.201525     -30.167498      -2.843711      -7.441134
285               18.802107     -16.299568      -2.044250      -9.146820
286               19.844206     -18.223488      -4.564789      -6.392156
287               19.354277     -16.303741      -0.670111     -10.408027
288               20.606720     -14.162019      -2.697424     -14.724062
289               25.576283     -24.378857       0.511771      -7.717232
290               29.006203     -26.469114      -4.934052     -10.788927
291               29.515131     -26.141701      -8.860890     -10.451750
292               26.693624     -18.866489      -2.104844     -18.766319
293               28.175470     -27.548889       3.481162      -4.774658
294               34.986347     -32.337685      -0.120955     -13.353056
295               29.378126     -25.604548     -12.333111      -7.441494
296               29.524704     -23.246542       1.989531     -18.092766
297               24.295788     -12.774460      -5.436859     -19.938381
298               27.377609     -24.232176       1.255591     -12.679062
299               33.597462     -33.501877      -2.141972      -1.351132
300               35.198887     -31.636812      -4.930769     -14.620577
301               34.817406     -32.620293       2.260984     -11.960608
302               30.331514     -22.041986      -1.497011     -20.782457
303               27.156799     -25.014606      -9.648952      -4.319592
304               25.771040     -23.949778      -7.217129      -6.202236
305               26.254341     -19.976954      -4.529047     -16.422529
306               40.296432     -31.952461      -7.535329     -23.367962
307               35.267757     -32.477558      -4.068575     -13.132768
308               25.721800     -23.059662     -10.409850      -4.636597
309               25.718014     -20.505823      -2.219325     -15.362357
310               26.432295     -24.528519       5.302855      -8.300463
311               17.966841     -17.884287      -1.036984      -1.372692
312               30.722950     -25.126749       7.302284     -16.100397
313               27.831638     -18.929203     -12.050906     -16.463932
314               20.048733     -16.186357       2.493334     -11.564464
315               21.200792     -10.611827      10.816739     -14.827708
316               26.752213     -22.108332       5.396156     -14.063574
317               24.339169     -23.075270      -7.282648      -2.624890
318               23.963127     -21.583700      -6.815698      -7.869029
319               21.393398     -21.104397      -3.085155      -1.662443
320               23.082153     -19.025301      -2.868845     -12.751212
321               19.738907     -15.804935       0.022072     -11.824886
322               14.951259     -13.830096      -1.573154      -5.458368
323               32.371628     -27.846756      -2.194155     -16.360506
324               22.608992     -20.441637      -7.048367      -6.605036
325               24.003710     -22.299559      -6.505510       6.048649
326               22.841089     -22.072041      -2.430567      -5.350960
327               22.414370     -20.158781      -8.190763      -5.379485
328               31.585316     -27.865166     -11.406290      -9.542601
329               20.948185     -13.970587      -5.309948     -14.678337
330               28.166780     -19.997253      -4.039489     -19.420607
331               20.198715     -20.092321      -0.801920       1.908842
332               27.644003     -22.424814       1.835454     -16.060812
333               30.809132     -28.718332      -1.784315     -11.012548
334               24.839983     -21.026455      -5.739059     -11.915377
335               30.121078     -21.360641     -11.296512     -17.983082
336               23.674746     -21.083431      -7.556005      -7.673934
337               26.463814     -25.296913       5.754182      -5.223886
338               21.893063     -15.066569      -1.335266     -15.827878
339               24.777407     -20.547062      -0.053160     -13.846852
340               26.278879     -23.942617      -3.300284     -10.316918
341               25.973005     -20.174942      -5.909551     -15.252737
342               28.576464     -26.870258      -2.206328      -9.472887
343               25.335224     -24.542099      -6.217661      -0.948479
344               29.950495     -26.045534      -8.542022     -12.070467
345               28.910828     -25.745754      -2.527374     -12.907533
346               27.259272     -22.332561      -7.816999     -13.535845
347               32.653858     -31.544096      -6.151921      -5.779141
348               34.381584     -29.651859      -3.987458     -16.939917
349               32.747559     -32.024857      -6.066861      -3.162976
350               25.383114     -22.909412       3.560803     -10.333534
351               30.265793     -22.189997     -15.309011     -13.757049
352               28.335606     -25.140837      -2.080864     -12.904063
353               26.079533     -23.735977      -6.036777      -8.961179
354               31.377134     -29.284733      -7.214927      -8.652964
355               29.648260     -26.559473      -6.726547     -11.329929
356               30.890902     -23.238228     -18.930531      -7.474461
357               22.775860     -21.045984      -5.250181      -6.945645
358               28.054773     -23.443609     -10.949922     -10.842818
359               23.296932     -18.268608      -6.205769     -13.057314
360               27.368113     -16.156229      -3.523238     -21.807720
361               27.648085     -26.619150      -2.260629      -7.122288
362               26.962730     -20.066174      -8.262109     -16.002346
363               20.396179     -18.793980      -5.345419      -5.849520
364               27.033445     -24.310875      -4.744584     -10.829475
365               27.916826     -27.014101       2.280102      -6.662483
366               30.561527     -28.323832       4.865973     -10.396627
367               22.427395     -16.306950      -0.505903     -15.388811
368               26.430611     -22.091080       0.756250     -14.491012
369               30.158638     -26.666254      -2.917949     -13.781867
370               26.063433     -23.907745      -7.614002      -7.053310
371               33.865364     -29.909334     -13.970863      -7.557084
372               32.101479     -26.682123      -2.222440     -17.709604
373               18.868139     -16.402531      -5.128393      -7.788661
374               18.809149     -14.962263      -5.011873     -10.236987
375               25.742836     -19.116129       0.306282     -17.238718
376               20.795271     -17.918602      -7.374528      -7.548730
377               28.598200     -25.705988      -4.882698     -11.542031
378               27.773014     -25.695013       7.528983      -7.377059
379               18.892626     -13.021792      -9.294623     -10.048594
380               27.008945     -23.748205      -7.074653     -10.745008
381               25.566824     -23.010534      -7.550869      -8.195251
382               25.093412     -23.549768      -5.276087      -6.873910
383               23.209181     -18.004236      -0.157668     -14.645432
384               18.890575     -13.443088       0.006445     -13.271667
385               28.571453     -23.515299     -11.076593     -11.860341
386               25.411451     -22.681767     -10.548697      -4.472614
387               30.377998     -27.595724      -7.460591     -10.278052
