@    title "Efield_Projection"
@    xaxis  label "Time (ps)"
@    yaxis  label "Alignment_percentage"
#time             Angle           Alignment%
@type xy
704               45.254285      70.396171
705               50.700224      63.337786
706               34.917045      81.998165
707               52.681126      60.625037
708               27.630582      88.595614
709               30.242589      86.390066
710               46.190723      69.226001
711               31.794642      84.994186
712               56.466272      55.242774
713               25.647019      90.147762
714               48.042442      66.858000
715               32.369069      84.461719
716               29.920704      86.671650
717               53.809462      59.047234
718               51.359873      62.442675
719               54.009608      58.764955
720               43.098712      73.017757
721               32.426408      84.408082
722               49.274723      65.243283
723               30.272410      86.363829
724               56.988006      54.481463
725               37.779202      79.037739
726               64.406674      43.198070
727               48.774030      65.903046
728               65.042736      42.194209
729               69.635117      34.799757
730               37.029767      79.832266
731               42.358346      73.894531
732               35.835224      81.070398
733               35.155432      81.759294
734               53.765518      59.109119
735               49.581825      64.836136
736               81.359988      15.022578
737               43.636469      72.373285
738               55.533521      56.592399
739               46.592952      68.717688
740               53.379666      59.650972
741               24.574897      90.941837
742               56.668926      54.947604
743               49.666761      64.723215
744               61.651596      47.483189
745               47.738969      67.250931
746               38.519784      78.239313
747               46.309482      69.076273
748               48.335230      66.477120
749               53.743316      59.140368
750               61.143955      48.261061
751               44.676580      71.108702
752               64.247846      43.447913
753               47.664156      67.347517
754               52.268387      61.196342
755               37.390236      79.451798
756               30.030205      86.576174
757               36.674158      80.204508
758               61.800716      47.253968
759               53.730707      59.158107
760               34.986963      81.928255
761               36.219519      80.675913
762               34.262042      82.647143
763               36.360866      80.529896
764               61.011056      48.464085
765               52.690457      60.612091
766               38.057157      78.739619
767               47.103809      68.067220
768               50.627042      63.436576
769               35.159340      81.755376
770               33.149289      83.724852
771               39.142987      77.557302
772               41.836928      74.504622
773               53.764201      59.110983
774               34.859326      82.055784
775               28.022291      88.276491
776               58.470489      52.293771
777               54.575061      57.963589
778               51.158874      62.716304
779               60.171032      49.741273
780               59.643666      50.537628
781               65.652348      41.227225
782               56.159246      55.688653
783               55.972738      55.958730
784               63.971788      43.881366
785               58.568827      52.147391
786               23.929773      91.404323
787               47.619605      67.404979
788               54.341126      58.295817
789               74.777881      26.256173
790               57.159292      54.230522
791               29.018787      87.446067
792               26.754762      89.294151
793               55.383362      56.808263
794               51.856308      61.763576
795               37.970644      78.832613
796               45.373252      70.248538
797               48.087932      66.798934
798               35.532320      81.378778
799               35.971328      80.931113
800               62.928300      45.510511
801               51.963355      61.616531
802               44.826299      70.924716
803               34.172889      82.734625
804               56.247974      55.559965
805               55.857855      56.124792
806               61.642238      47.497551
807               56.953716      54.531632
808               34.424996      82.486698
809               39.703676      76.935850
810               77.443671      21.739933
811               57.526784      53.690529
812               36.058454      80.841694
813               36.082514      80.816958
814               43.308882      72.766651
815               51.901810      61.701096
816               43.329306      72.742190
817               31.050906      85.670936
818               31.166177      85.566980
819               56.607912      55.036550
820               40.713287      75.798306
821               50.465313      63.654516
822               44.643241      71.149592
823               45.577913      69.993879
824               55.407974      56.772923
825               39.648281      76.997578
826               74.211183      27.209235
827               38.338983      78.435460
828               57.802996      53.283206
829               69.723613      34.654909
830               51.451391      62.317832
831               41.385830      75.027466
832               59.836035      50.247623
833               64.782028      42.606307
834               68.160601      37.200618
835               58.734024      51.901163
836               40.419074      76.132248
837               74.370355      26.941814
838               63.901574      43.991456
839               79.821461      17.671609
840               45.283604      70.359814
841               42.124521      74.168872
842               51.365355      62.435213
843               49.957151      64.336024
844               51.853342      61.767647
845               42.302510      73.960162
846               47.274094      67.849192
847               42.069687      74.233042
848               56.367667      55.386157
849               55.202598      57.067638
850               52.479890      60.903986
851               50.039855      64.225467
852               46.788496      68.469346
853               51.398810      62.389572
854               60.451849      49.315483
855               81.310050      15.108743
856               36.185700      80.710768
857               49.738278      64.628024
858               25.806720      90.026767
859               30.571179      86.099785
860               14.901597      96.636880
861               45.056934      70.640381
862                6.538850      99.349492
863               58.360267      52.457647
864               45.191035      70.474530
865               39.742968      76.892023
866               56.427743      55.298807
867               46.550112      68.771996
868               52.322386      61.121791
869               52.777560      60.491098
870               56.715225      54.880065
871               65.951202      40.751455
872               71.396432      31.901833
873               55.504284      56.634458
874               65.974688      40.714014
875               42.888783      73.267612
876               44.368594      71.485604
877               79.531601      18.169320
878               58.798132      51.805504
879               63.511787      44.601372
880               74.087042      27.417677
881               72.970315      29.286720
882               64.352255      43.283705
883               61.509159      47.701827
884               54.219999      58.467455
885               43.252054      72.834637
886               44.725335      71.048846
887               23.275419      91.861606
888               45.213313      70.446928
889               45.928614      69.555411
890               35.079228      81.835819
891               50.508810      63.595967
892               74.043216      27.491227
893               42.915582      73.235771
894               78.761333      19.489634
895               38.222150      78.561782
896               41.072016      75.388434
897               50.313761      63.858285
898               42.715885      73.472653
899               58.421861      52.366083
900               59.646227      50.533768
901               66.076272      40.552023
902               49.132650      65.431008
903               34.892987      82.022199
904               44.360613      71.495358
905               59.575610      50.640091
906               48.808017      65.858419
907               72.778203      29.607157
908               38.756937      77.980865
909               60.153328      49.768068
910               35.467841      81.444126
911               52.667005      60.644646
912               55.233729      57.023005
913               57.017344      54.438507
914               65.012166      42.242581
915               47.280332      67.841179
916               50.949196      63.000926
917               35.105526      81.809411
918               52.996329      60.186620
919               44.803298      70.953014
920               43.474977      72.567494
921               57.965732      53.042640
922               38.591278      78.161544
923               47.648784      67.367353
924               42.824384      73.344060
925               34.307693      82.602256
926               51.213213      62.642398
927               49.702220      64.676023
928               31.431868      85.326083
929               48.563071      66.179529
930               54.782121      57.668724
931               58.375617      52.434840
932               48.529106      66.223956
933               46.970018      68.238094
934               65.902063      40.829765
935               43.165896      72.937597
936               47.093179      68.080802
937               42.314037      73.946617
938               48.584437      66.151558
939               55.624542      56.461348
940               41.977775      74.340437
941               46.055622      69.395967
942               30.928273      85.781142
943               57.808250      53.275442
944               60.969874      48.526941
945               81.176772      15.338645
946               43.776135      72.204839
947               53.004617      60.175060
948               30.578618      86.093196
949               69.513103      34.999317
950               66.384435      40.059803
951               67.564420      38.164439
952               57.879779      53.169755
953               52.340170      61.097220
954               73.726147      28.022868
955               55.570925      56.538565
956               47.446629      67.627651
957               52.793191      60.469392
958               38.782804      77.952594
959               49.177076      65.372329
960               42.750409      73.431771
961               34.447069      82.464904
962               63.357889      44.841612
963               47.238255      67.895121
964               44.175414      71.720976
965               38.614070      78.136726
966               39.894082      76.723144
967               48.490764      66.274069
968               62.792561      45.721335
969               40.357979      76.201333
970               44.022129      71.907145
971               44.230819      71.653552
972               40.458199      76.087962
973               41.668233      74.700686
974               22.976388      92.066591
975               30.741824      85.947939
976               55.344881      56.863544
977               49.121797      65.445322
978               38.681210      78.063533
979               46.545563      68.777752
980               65.681890      41.180245
981               67.682881      37.973253
982               62.503966      46.168714
983               59.330636      51.008304
984               52.283541      61.175436
985               41.998542      74.316182
986               48.944033      65.679591
987               42.850171      73.313473
988               50.655429      63.398261
989               71.319170      32.029603
990               76.205784      23.843549
991               54.176582      58.528920
