@    title "Efield_Projection"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time             Magnitude       Efield_X       Efield_Y      Efield_Z        Direction
@type xy
233               28.070059     -23.678392      15.073036      -0.255915       1.000000
234               14.505122     -12.845904       6.595988       1.369033       1.000000
235               20.808304     -16.269524      11.785523      -5.421213       1.000000
236               20.761599     -16.056067      12.110539      -5.155725       1.000000
237               21.365549     -17.328751      12.277088      -2.339708       1.000000
238               20.215282     -15.922295      11.429235      -4.950838       1.000000
239               18.874250     -16.117119       9.599439      -2.080039       1.000000
240               19.342039     -16.326851      10.012452      -2.701697       1.000000
241                9.366681      -5.687053       6.021957      -4.373577       1.000000
242               20.940651     -17.415230      11.595330      -0.876921       1.000000
243                8.879085      -6.948738       5.340900      -1.424066       1.000000
244                7.742384      -6.487015       4.225868       0.072030       1.000000
245               21.732397     -17.354557      12.315685      -4.409123       1.000000
246               19.994507     -15.578506      11.064655      -5.887604       1.000000
247               21.004042     -18.903454       9.125658      -0.742649       1.000000
248                9.969014      -7.977305       5.866802      -1.150856       1.000000
249               20.778240     -15.978786      10.996387      -7.449371       1.000000
250               10.830419      -9.644135       4.848343      -0.884408       1.000000
251               11.621986      -9.379563       6.862363      -0.048379       1.000000
252               37.049370     -30.725283      20.116165      -4.894157       1.000000
253               15.546810     -12.195681       8.821909      -3.891348       1.000000
254                1.111353      -0.877816       0.669355      -0.128488       1.000000
255               26.067314     -15.830748      16.820475     -12.081553       1.000000
256               11.834114     -10.409181       5.628957      -0.100175       1.000000
257               12.760278      -9.738134       7.903315      -2.351815       1.000000
258                7.387599      -6.048423       4.089679      -1.125932       1.000000
259               14.414160     -11.818157       8.187562      -1.031008       1.000000
260               16.068193     -11.653172      10.403242      -3.763375       1.000000
261               22.049112     -17.825928      12.756376      -2.382123       1.000000
262               20.215805     -17.513948      10.091816      -0.309181       1.000000
263               23.200670     -18.943333      12.528658      -4.738564       1.000000
264               28.074682     -23.945601      14.575248      -1.535622       1.000000
265               13.761573     -10.161606       7.787420      -5.047648       1.000000
266               13.200788     -11.398366       6.616578      -0.747631       1.000000
267               19.904400     -16.429958      10.938464       2.567413       1.000000
268               29.856695     -25.113092      14.334654      -7.434548       1.000000
269               13.809406      -9.998770       8.777499      -3.698622       1.000000
270               15.046426     -11.081478       8.624608      -5.404805       1.000000
271               17.823566     -14.066129      10.523180      -3.014332       1.000000
272               11.066718      -9.469227       5.667395      -0.828633       1.000000
273               22.401003     -18.477818      12.627954      -0.953920       1.000000
274               29.085640     -21.827145      19.040895      -2.644710       1.000000
275               22.371161     -18.963442      11.847878       0.696041       1.000000
276               29.175339     -24.608994      15.669541      -0.251730       1.000000
277               27.668539     -21.561239      15.243213      -8.264718       1.000000
278               21.221485     -17.158226      11.952665      -3.616704       1.000000
279               24.648306     -18.333797      14.965738      -6.887492       1.000000
280               18.123932     -14.173904      11.276277      -0.650346       1.000000
281               24.828299     -20.305824      14.024657      -2.725230       1.000000
282               16.197575     -12.117507       8.831322      -6.126599       1.000000
283               25.499847     -22.757742      11.496962       0.383857       1.000000
284               24.781260     -20.407795      13.199747      -4.837290       1.000000
285               13.229011     -10.695700       7.581776      -1.767879       1.000000
286               13.184493     -10.747492       7.410395      -1.846162       1.000000
287               12.322083     -10.758863       5.698875       1.898260       1.000000
288               11.058093      -9.466945       5.709486      -0.245264       1.000000
289               18.541313     -15.707371       8.098697       5.609804       1.000000
290               19.195387     -15.256276      11.481053      -1.973399       1.000000
291               17.914167     -13.424199      10.308904      -5.868115       1.000000
292               18.634935     -15.172265       9.901422      -4.361773       1.000000
293               25.171980     -20.400866      13.927670      -4.842858       1.000000
294               30.048576     -23.507000      15.266582     -10.829101       1.000000
295               15.971094     -13.987967       7.606741       1.245038       1.000000
296               22.673365     -17.822653      13.421117      -4.038340       1.000000
297                8.710807      -7.562095       4.321292      -0.138965       1.000000
298               22.475332     -18.422117      12.417270      -3.402587       1.000000
299               27.781075     -23.737080      13.738761      -4.425567       1.000000
300               28.518522     -24.717764      12.692230      -6.422274       1.000000
301               28.908640     -24.080446      15.951344      -1.181581       1.000000
302               18.795992     -14.015839      12.156752      -3.009804       1.000000
303               15.899002     -13.179374       8.729386      -1.697112       1.000000
304               15.776765     -12.895497       9.047929      -0.864534       1.000000
305               14.121502     -12.448718       6.559521       1.191184       1.000000
306               24.448526     -18.546747      15.095500      -5.086699       1.000000
307               27.591122     -24.365559      12.835224      -1.687176       1.000000
308               11.320605      -7.924996       7.025474      -3.999155       1.000000
309               17.581570     -14.912605       9.184011      -1.542641       1.000000
310               25.410307     -21.803522      11.623268      -5.932096       1.000000
311               14.736528     -12.598807       7.642457       0.167788       1.000000
312               24.636187     -20.114616      14.224023       0.145401       1.000000
313                9.182156      -6.931944       5.848840      -1.432198       1.000000
314               16.915297     -13.971898       8.962543      -3.253628       1.000000
315               15.991899     -13.038395       9.178889      -1.220282       1.000000
316               23.446842     -18.448366      13.630866      -4.859188       1.000000
317               16.265747     -13.794227       8.262566      -2.454359       1.000000
318               12.891022      -9.472273       8.403554      -2.415527       1.000000
319               16.329411     -13.717184       8.584394      -2.190138       1.000000
320               16.345591     -13.224870       9.038176      -3.254618       1.000000
321               15.232038     -13.293591       7.204983      -1.839481       1.000000
322               11.812124     -10.197650       5.795753      -1.394081       1.000000
323               22.870518     -19.223955      12.356236      -0.907508       1.000000
324               12.872391     -10.334493       7.581141      -1.192905       1.000000
325               15.605263     -13.382600       8.013789      -0.457636       1.000000
326               17.230734     -14.298764       9.576714      -0.854441       1.000000
327               12.166501      -9.952910       6.951138      -0.803108       1.000000
328               19.914619     -17.480381       9.382537      -1.731010       1.000000
329                9.937703      -8.017869       5.751941      -1.177662       1.000000
330               15.636453     -13.252066       8.272810      -0.664842       1.000000
331               16.065346     -13.268145       9.034633      -0.653506       1.000000
332               19.537964     -16.736679      10.052564       0.749396       1.000000
